epoch,train_loss,train_acc,val_loss,val_acc
1,0.650014596289342,0.7602642361401455,0.3092201494167898,0.8919392523364486
2,0.23628580920975767,0.9153775399280877,0.1723857326346023,0.9415887850467289
3,0.17180023500709063,0.9412994397524876,0.20074078983792634,0.9264018691588785
4,0.14187653535402747,0.9512501045237897,0.1448243148276739,0.9439252336448598
5,0.10631552491611497,0.9646291495944477,0.142663840082622,0.9497663551401869
6,0.07767803451395701,0.9741617192072916,0.16945666739734533,0.9491822429906542
7,0.06493208591266875,0.9781754327284891,0.17996313462956487,0.951518691588785
8,0.042346509494362784,0.9854502884856593,0.19433959857256056,0.945677570093458
9,0.024466180080751652,0.9928923823062129,0.1544808784551988,0.9561915887850467
10,0.021307068322053552,0.992641525211138,0.19030761793603965,0.9509345794392523
