epoch,train_loss,train_acc,val_loss,val_acc
1,0.9477967101074907,0.6522399392558846,0.5601548023912154,0.8077768892443022
2,0.5114306171898497,0.8181380447061873,0.34676456582493803,0.8660535785685726
3,0.39167058096308727,0.8612515510120933,0.33641735647545484,0.8741503398640543
4,0.3256664765551282,0.8857343926514436,0.2238405588113132,0.9228308676529389
5,0.27680129069876824,0.9038835490860604,0.26656154940863314,0.9068372650939625
6,0.2402736777662381,0.9155508639368853,0.17456080336443952,0.9372251099560176
7,0.20915959699640876,0.9267181510083894,0.1634129708299919,0.9420231907237105
8,0.1840038662854483,0.9375891253217772,0.1451899746521527,0.9491203518592563
9,0.1645089810514087,0.9446265533270367,0.12857471456284264,0.9561175529788085
10,0.15506533429084624,0.9469229772024371,0.1316883410619455,0.952718912435026
