epoch,train_loss,train_acc,val_loss,val_acc
1,0.8517317227575031,0.6876829166318255,0.6302330003720578,0.7634345794392523
2,0.5400288077822816,0.8035788945564011,0.53944890298576,0.8054906542056075
3,0.4253432781727819,0.8462246007191236,0.5766368012561977,0.7920560747663551
4,0.36966747560621915,0.866460406388494,0.5386770531952938,0.8165887850467289
5,0.31782091806261664,0.8892884020403043,0.4514060861596437,0.8376168224299065
6,0.27360344027304634,0.9014967806672799,0.38514409611158285,0.8592289719626168
7,0.24089964094249908,0.9142068734844051,0.3056593219810557,0.8907710280373832
8,0.21034738949628287,0.9262480140479973,0.2568559304019001,0.9077102803738317
9,0.19034134642377487,0.9339409649636258,0.24927091584584424,0.9077102803738317
10,0.17960814283373405,0.9401287733088051,0.24136316107812328,0.9123831775700935
