epoch,train_loss,train_acc,val_loss,val_acc
1,0.2762169969844818,0.90808,0.17779773078858851,0.9381
2,0.16665588254004718,0.94284,0.1405895933300257,0.9518
3,0.13407274242222308,0.95374,0.16749106072485448,0.9424
4,0.11744617348343134,0.95882,0.15135346346497536,0.9483
5,0.10106843889214098,0.9651,0.16603980982601643,0.9469
6,0.09328557206600904,0.9678,0.14546475079208612,0.9556
7,0.08228032739140094,0.97122,0.1686427888188511,0.9487
8,0.07880963310297578,0.97282,0.13948439400997012,0.956
9,0.07413064638100564,0.97404,0.1331809555798769,0.9579
10,0.06254542353268713,0.9775,0.1553859491713345,0.9535
